,countries,variable_type,Region,seried_id,date,records
Date.356,New Zealand,Country,Australia and Oceania,A85375607R,9/1/2020,350
Date.357,New Zealand,Country,Australia and Oceania,A85375607R,10/1/2020,900
Date.358,New Zealand,Country,Australia and Oceania,A85375607R,11/1/2020,1640
Date.359,New Zealand,Country,Australia and Oceania,A85375607R,12/1/2020,2520
Date.360,New Zealand,Country,Australia and Oceania,A85375607R,1/1/2021,1580
Date.361,New Zealand,Country,Australia and Oceania,A85375607R,2/1/2021,1570
Date.362,New Zealand,Country,Australia and Oceania,A85375607R,3/1/2021,2060
Date.363,New Zealand,Country,Australia and Oceania,A85375607R,4/1/2021,16320
Date.364,New Zealand,Country,Australia and Oceania,A85375607R,5/1/2021,28510
Date.365,New Zealand,Country,Australia and Oceania,A85375607R,6/1/2021,27390
Date.366,New Zealand,Country,Australia and Oceania,A85375607R,7/1/2021,13160
Date.367,New Zealand,Country,Australia and Oceania,A85375607R,8/1/2021,1010
Date.368,New Zealand,Country,Australia and Oceania,A85375607R,9/1/2021,100
Date.369,New Zealand,Country,Australia and Oceania,A85375607R,10/1/2021,210
Date.370,New Zealand,Country,Australia and Oceania,A85375607R,11/1/2021,1070
Date.371,New Zealand,Country,Australia and Oceania,A85375607R,12/1/2021,3780
Date.372,New Zealand,Country,Australia and Oceania,A85375607R,1/1/2022,2330
Date.373,New Zealand,Country,Australia and Oceania,A85375607R,2/1/2022,4820
Date.374,New Zealand,Country,Australia and Oceania,A85375607R,3/1/2022,18800
Date.375,New Zealand,Country,Australia and Oceania,A85375607R,4/1/2022,42500
Date.376,New Zealand,Country,Australia and Oceania,A85375607R,5/1/2022,46670
Date.377,New Zealand,Country,Australia and Oceania,A85375607R,6/1/2022,57200
Date.378,New Zealand,Country,Australia and Oceania,A85375607R,7/1/2022,79560
Date.379,New Zealand,Country,Australia and Oceania,A85375607R,8/1/2022,75500
Date.380,New Zealand,Country,Australia and Oceania,A85375607R,9/1/2022,82810
Date.381,New Zealand,Country,Australia and Oceania,A85375607R,10/1/2022,98600
Date.382,New Zealand,Country,Australia and Oceania,A85375607R,11/1/2022,91210
Date.383,New Zealand,Country,Australia and Oceania,A85375607R,12/1/2022,97630
Date.384,New Caledonia,Country,Australia and Oceania,A85375691T,1/1/1991,2470
Date.385,New Caledonia,Country,Australia and Oceania,A85375691T,2/1/1991,2430
Date.386,New Caledonia,Country,Australia and Oceania,A85375691T,3/1/1991,1040
Date.387,New Caledonia,Country,Australia and Oceania,A85375691T,4/1/1991,750
Date.388,New Caledonia,Country,Australia and Oceania,A85375691T,5/1/1991,840
Date.389,New Caledonia,Country,Australia and Oceania,A85375691T,6/1/1991,720
Date.390,New Caledonia,Country,Australia and Oceania,A85375691T,7/1/1991,840
Date.391,New Caledonia,Country,Australia and Oceania,A85375691T,8/1/1991,1270
Date.392,New Caledonia,Country,Australia and Oceania,A85375691T,9/1/1991,840
Date.393,New Caledonia,Country,Australia and Oceania,A85375691T,10/1/1991,1070
Date.394,New Caledonia,Country,Australia and Oceania,A85375691T,11/1/1991,1160
Date.395,New Caledonia,Country,Australia and Oceania,A85375691T,12/1/1991,1780
Date.396,New Caledonia,Country,Australia and Oceania,A85375691T,1/1/1992,3210
Date.397,New Caledonia,Country,Australia and Oceania,A85375691T,2/1/1992,2850
Date.398,New Caledonia,Country,Australia and Oceania,A85375691T,3/1/1992,940
Date.399,New Caledonia,Country,Australia and Oceania,A85375691T,4/1/1992,1380
Date.400,New Caledonia,Country,Australia and Oceania,A85375691T,5/1/1992,1320
Date.401,New Caledonia,Country,Australia and Oceania,A85375691T,6/1/1992,670
Date.402,New Caledonia,Country,Australia and Oceania,A85375691T,7/1/1992,890
Date.403,New Caledonia,Country,Australia and Oceania,A85375691T,8/1/1992,1440
Date.404,New Caledonia,Country,Australia and Oceania,A85375691T,9/1/1992,850
Date.405,New Caledonia,Country,Australia and Oceania,A85375691T,10/1/1992,1170
Date.406,New Caledonia,Country,Australia and Oceania,A85375691T,11/1/1992,1260
Date.407,New Caledonia,Country,Australia and Oceania,A85375691T,12/1/1992,1990
Date.408,New Caledonia,Country,Australia and Oceania,A85375691T,1/1/1993,3160
Date.409,New Caledonia,Country,Australia and Oceania,A85375691T,2/1/1993,2880
Date.410,New Caledonia,Country,Australia and Oceania,A85375691T,3/1/1993,920
Date.411,New Caledonia,Country,Australia and Oceania,A85375691T,4/1/1993,1090
Date.412,New Caledonia,Country,Australia and Oceania,A85375691T,5/1/1993,1290
Date.413,New Caledonia,Country,Australia and Oceania,A85375691T,6/1/1993,880
Date.414,New Caledonia,Country,Australia and Oceania,A85375691T,7/1/1993,1070
Date.415,New Caledonia,Country,Australia and Oceania,A85375691T,8/1/1993,1220
Date.416,New Caledonia,Country,Australia and Oceania,A85375691T,9/1/1993,1020
Date.417,New Caledonia,Country,Australia and Oceania,A85375691T,10/1/1993,1440
Date.418,New Caledonia,Country,Australia and Oceania,A85375691T,11/1/1993,1330
Date.419,New Caledonia,Country,Australia and Oceania,A85375691T,12/1/1993,2090
Date.420,New Caledonia,Country,Australia and Oceania,A85375691T,1/1/1994,3920
Date.421,New Caledonia,Country,Australia and Oceania,A85375691T,2/1/1994,3280
Date.422,New Caledonia,Country,Australia and Oceania,A85375691T,3/1/1994,1250
Date.423,New Caledonia,Country,Australia and Oceania,A85375691T,4/1/1994,1460
Date.424,New Caledonia,Country,Australia and Oceania,A85375691T,5/1/1994,870
Date.425,New Caledonia,Country,Australia and Oceania,A85375691T,6/1/1994,910
Date.426,New Caledonia,Country,Australia and Oceania,A85375691T,7/1/1994,1100
Date.427,New Caledonia,Country,Australia and Oceania,A85375691T,8/1/1994,1510
Date.428,New Caledonia,Country,Australia and Oceania,A85375691T,9/1/1994,1100
Date.429,New Caledonia,Country,Australia and Oceania,A85375691T,10/1/1994,1550
Date.430,New Caledonia,Country,Australia and Oceania,A85375691T,11/1/1994,1380
Date.431,New Caledonia,Country,Australia and Oceania,A85375691T,12/1/1994,1880
Date.432,New Caledonia,Country,Australia and Oceania,A85375691T,1/1/1995,4510
Date.433,New Caledonia,Country,Australia and Oceania,A85375691T,2/1/1995,3130
Date.434,New Caledonia,Country,Australia and Oceania,A85375691T,3/1/1995,1170
Date.435,New Caledonia,Country,Australia and Oceania,A85375691T,4/1/1995,1280
Date.436,New Caledonia,Country,Australia and Oceania,A85375691T,5/1/1995,1360
Date.437,New Caledonia,Country,Australia and Oceania,A85375691T,6/1/1995,910
Date.438,New Caledonia,Country,Australia and Oceania,A85375691T,7/1/1995,1130
Date.439,New Caledonia,Country,Australia and Oceania,A85375691T,8/1/1995,1500
Date.440,New Caledonia,Country,Australia and Oceania,A85375691T,9/1/1995,1060
Date.441,New Caledonia,Country,Australia and Oceania,A85375691T,10/1/1995,1660
Date.442,New Caledonia,Country,Australia and Oceania,A85375691T,11/1/1995,1470
Date.443,New Caledonia,Country,Australia and Oceania,A85375691T,12/1/1995,2220
Date.444,New Caledonia,Country,Australia and Oceania,A85375691T,1/1/1996,3930
Date.445,New Caledonia,Country,Australia and Oceania,A85375691T,2/1/1996,2930
Date.446,New Caledonia,Country,Australia and Oceania,A85375691T,3/1/1996,2010
Date.447,New Caledonia,Country,Australia and Oceania,A85375691T,4/1/1996,1470
Date.448,New Caledonia,Country,Australia and Oceania,A85375691T,5/1/1996,1500
Date.449,New Caledonia,Country,Australia and Oceania,A85375691T,6/1/1996,1230
Date.450,New Caledonia,Country,Australia and Oceania,A85375691T,7/1/1996,1330
Date.451,New Caledonia,Country,Australia and Oceania,A85375691T,8/1/1996,1630
Date.452,New Caledonia,Country,Australia and Oceania,A85375691T,9/1/1996,1640
Date.453,New Caledonia,Country,Australia and Oceania,A85375691T,10/1/1996,1610
Date.454,New Caledonia,Country,Australia and Oceania,A85375691T,11/1/1996,1920
Date.455,New Caledonia,Country,Australia and Oceania,A85375691T,12/1/1996,2270
Date.456,New Caledonia,Country,Australia and Oceania,A85375691T,1/1/1997,3440
Date.457,New Caledonia,Country,Australia and Oceania,A85375691T,2/1/1997,3030
Date.458,New Caledonia,Country,Australia and Oceania,A85375691T,3/1/1997,1500
Date.459,New Caledonia,Country,Australia and Oceania,A85375691T,4/1/1997,1270
Date.460,New Caledonia,Country,Australia and Oceania,A85375691T,5/1/1997,1730
Date.461,New Caledonia,Country,Australia and Oceania,A85375691T,6/1/1997,1290
Date.462,New Caledonia,Country,Australia and Oceania,A85375691T,7/1/1997,1550
Date.463,New Caledonia,Country,Australia and Oceania,A85375691T,8/1/1997,1090
Date.464,New Caledonia,Country,Australia and Oceania,A85375691T,9/1/1997,1750
Date.465,New Caledonia,Country,Australia and Oceania,A85375691T,10/1/1997,1360
Date.466,New Caledonia,Country,Australia and Oceania,A85375691T,11/1/1997,1930
Date.467,New Caledonia,Country,Australia and Oceania,A85375691T,12/1/1997,1840
Date.468,New Caledonia,Country,Australia and Oceania,A85375691T,1/1/1998,4100
Date.469,New Caledonia,Country,Australia and Oceania,A85375691T,2/1/1998,3540
Date.470,New Caledonia,Country,Australia and Oceania,A85375691T,3/1/1998,1590
Date.471,New Caledonia,Country,Australia and Oceania,A85375691T,4/1/1998,1620
Date.472,New Caledonia,Country,Australia and Oceania,A85375691T,5/1/1998,1700
Date.473,New Caledonia,Country,Australia and Oceania,A85375691T,6/1/1998,1340
Date.474,New Caledonia,Country,Australia and Oceania,A85375691T,7/1/1998,1540
Date.475,New Caledonia,Country,Australia and Oceania,A85375691T,8/1/1998,1300
Date.476,New Caledonia,Country,Australia and Oceania,A85375691T,9/1/1998,1560
Date.477,New Caledonia,Country,Australia and Oceania,A85375691T,10/1/1998,1680
Date.478,New Caledonia,Country,Australia and Oceania,A85375691T,11/1/1998,1510
Date.479,New Caledonia,Country,Australia and Oceania,A85375691T,12/1/1998,2190
Date.480,New Caledonia,Country,Australia and Oceania,A85375691T,1/1/1999,4300
Date.481,New Caledonia,Country,Australia and Oceania,A85375691T,2/1/1999,3000
Date.482,New Caledonia,Country,Australia and Oceania,A85375691T,3/1/1999,1470
Date.483,New Caledonia,Country,Australia and Oceania,A85375691T,4/1/1999,1780
Date.484,New Caledonia,Country,Australia and Oceania,A85375691T,5/1/1999,2060
Date.485,New Caledonia,Country,Australia and Oceania,A85375691T,6/1/1999,1440
Date.486,New Caledonia,Country,Australia and Oceania,A85375691T,7/1/1999,1410
Date.487,New Caledonia,Country,Australia and Oceania,A85375691T,8/1/1999,1850
Date.488,New Caledonia,Country,Australia and Oceania,A85375691T,9/1/1999,1690
Date.489,New Caledonia,Country,Australia and Oceania,A85375691T,10/1/1999,1860
Date.490,New Caledonia,Country,Australia and Oceania,A85375691T,11/1/1999,2000
Date.491,New Caledonia,Country,Australia and Oceania,A85375691T,12/1/1999,2150
Date.492,New Caledonia,Country,Australia and Oceania,A85375691T,1/1/2000,3820
Date.493,New Caledonia,Country,Australia and Oceania,A85375691T,2/1/2000,2540
Date.494,New Caledonia,Country,Australia and Oceania,A85375691T,3/1/2000,1790
Date.495,New Caledonia,Country,Australia and Oceania,A85375691T,4/1/2000,1810
Date.496,New Caledonia,Country,Australia and Oceania,A85375691T,5/1/2000,1880
Date.497,New Caledonia,Country,Australia and Oceania,A85375691T,6/1/2000,1580
Date.498,New Caledonia,Country,Australia and Oceania,A85375691T,7/1/2000,1750
Date.499,New Caledonia,Country,Australia and Oceania,A85375691T,8/1/2000,1750
Date.500,New Caledonia,Country,Australia and Oceania,A85375691T,9/1/2000,1450
Date.501,New Caledonia,Country,Australia and Oceania,A85375691T,10/1/2000,2040
Date.502,New Caledonia,Country,Australia and Oceania,A85375691T,11/1/2000,2140
Date.503,New Caledonia,Country,Australia and Oceania,A85375691T,12/1/2000,2720
Date.504,New Caledonia,Country,Australia and Oceania,A85375691T,1/1/2001,4880
Date.505,New Caledonia,Country,Australia and Oceania,A85375691T,2/1/2001,3150
Date.506,New Caledonia,Country,Australia and Oceania,A85375691T,3/1/2001,2080
Date.507,New Caledonia,Country,Australia and Oceania,A85375691T,4/1/2001,1630
Date.508,New Caledonia,Country,Australia and Oceania,A85375691T,5/1/2001,1820
Date.509,New Caledonia,Country,Australia and Oceania,A85375691T,6/1/2001,2250
Date.510,New Caledonia,Country,Australia and Oceania,A85375691T,7/1/2001,1520
Date.511,New Caledonia,Country,Australia and Oceania,A85375691T,8/1/2001,1640
Date.512,New Caledonia,Country,Australia and Oceania,A85375691T,9/1/2001,2340
Date.513,New Caledonia,Country,Australia and Oceania,A85375691T,10/1/2001,1960
Date.514,New Caledonia,Country,Australia and Oceania,A85375691T,11/1/2001,2330
Date.515,New Caledonia,Country,Australia and Oceania,A85375691T,12/1/2001,3110
Date.516,New Caledonia,Country,Australia and Oceania,A85375691T,1/1/2002,5280
Date.517,New Caledonia,Country,Australia and Oceania,A85375691T,2/1/2002,3340
Date.518,New Caledonia,Country,Australia and Oceania,A85375691T,3/1/2002,1960
Date.519,New Caledonia,Country,Australia and Oceania,A85375691T,4/1/2002,1680
Date.520,New Caledonia,Country,Australia and Oceania,A85375691T,5/1/2002,2600
Date.521,New Caledonia,Country,Australia and Oceania,A85375691T,6/1/2002,1310
Date.522,New Caledonia,Country,Australia and Oceania,A85375691T,7/1/2002,1840
Date.523,New Caledonia,Country,Australia and Oceania,A85375691T,8/1/2002,2260
Date.524,New Caledonia,Country,Australia and Oceania,A85375691T,9/1/2002,2180
Date.525,New Caledonia,Country,Australia and Oceania,A85375691T,10/1/2002,2400
Date.526,New Caledonia,Country,Australia and Oceania,A85375691T,11/1/2002,2620
Date.527,New Caledonia,Country,Australia and Oceania,A85375691T,12/1/2002,3030
Date.528,New Caledonia,Country,Australia and Oceania,A85375691T,1/1/2003,6230
Date.529,New Caledonia,Country,Australia and Oceania,A85375691T,2/1/2003,2960
Date.530,New Caledonia,Country,Australia and Oceania,A85375691T,3/1/2003,2620
Date.531,New Caledonia,Country,Australia and Oceania,A85375691T,4/1/2003,1870
Date.532,New Caledonia,Country,Australia and Oceania,A85375691T,5/1/2003,2310
Date.533,New Caledonia,Country,Australia and Oceania,A85375691T,6/1/2003,2260
Date.534,New Caledonia,Country,Australia and Oceania,A85375691T,7/1/2003,2140
Date.535,New Caledonia,Country,Australia and Oceania,A85375691T,8/1/2003,2390
Date.536,New Caledonia,Country,Australia and Oceania,A85375691T,9/1/2003,2380
Date.537,New Caledonia,Country,Australia and Oceania,A85375691T,10/1/2003,2620
Date.538,New Caledonia,Country,Australia and Oceania,A85375691T,11/1/2003,2900
Date.539,New Caledonia,Country,Australia and Oceania,A85375691T,12/1/2003,2920
Date.540,New Caledonia,Country,Australia and Oceania,A85375691T,1/1/2004,5890
Date.541,New Caledonia,Country,Australia and Oceania,A85375691T,2/1/2004,3710
Date.542,New Caledonia,Country,Australia and Oceania,A85375691T,3/1/2004,2530
Date.543,New Caledonia,Country,Australia and Oceania,A85375691T,4/1/2004,2230
Date.544,New Caledonia,Country,Australia and Oceania,A85375691T,5/1/2004,2810
Date.545,New Caledonia,Country,Australia and Oceania,A85375691T,6/1/2004,1900
Date.546,New Caledonia,Country,Australia and Oceania,A85375691T,7/1/2004,2210
Date.547,New Caledonia,Country,Australia and Oceania,A85375691T,8/1/2004,2410
Date.548,New Caledonia,Country,Australia and Oceania,A85375691T,9/1/2004,2870
Date.549,New Caledonia,Country,Australia and Oceania,A85375691T,10/1/2004,2950
Date.550,New Caledonia,Country,Australia and Oceania,A85375691T,11/1/2004,2990
Date.551,New Caledonia,Country,Australia and Oceania,A85375691T,12/1/2004,3410
Date.552,New Caledonia,Country,Australia and Oceania,A85375691T,1/1/2005,6400
Date.553,New Caledonia,Country,Australia and Oceania,A85375691T,2/1/2005,4380
Date.554,New Caledonia,Country,Australia and Oceania,A85375691T,3/1/2005,2800
Date.555,New Caledonia,Country,Australia and Oceania,A85375691T,4/1/2005,2190
Date.556,New Caledonia,Country,Australia and Oceania,A85375691T,5/1/2005,3160
Date.557,New Caledonia,Country,Australia and Oceania,A85375691T,6/1/2005,2220
Date.558,New Caledonia,Country,Australia and Oceania,A85375691T,7/1/2005,2500
Date.559,New Caledonia,Country,Australia and Oceania,A85375691T,8/1/2005,2030
Date.560,New Caledonia,Country,Australia and Oceania,A85375691T,9/1/2005,3030
Date.561,New Caledonia,Country,Australia and Oceania,A85375691T,10/1/2005,2860
Date.562,New Caledonia,Country,Australia and Oceania,A85375691T,11/1/2005,2750
Date.563,New Caledonia,Country,Australia and Oceania,A85375691T,12/1/2005,3490
Date.564,New Caledonia,Country,Australia and Oceania,A85375691T,1/1/2006,6680
Date.565,New Caledonia,Country,Australia and Oceania,A85375691T,2/1/2006,4010
Date.566,New Caledonia,Country,Australia and Oceania,A85375691T,3/1/2006,2450
Date.567,New Caledonia,Country,Australia and Oceania,A85375691T,4/1/2006,2840
Date.568,New Caledonia,Country,Australia and Oceania,A85375691T,5/1/2006,3170
Date.569,New Caledonia,Country,Australia and Oceania,A85375691T,6/1/2006,2200
Date.570,New Caledonia,Country,Australia and Oceania,A85375691T,7/1/2006,2520
Date.571,New Caledonia,Country,Australia and Oceania,A85375691T,8/1/2006,1980
Date.572,New Caledonia,Country,Australia and Oceania,A85375691T,9/1/2006,3100
Date.573,New Caledonia,Country,Australia and Oceania,A85375691T,10/1/2006,2680
Date.574,New Caledonia,Country,Australia and Oceania,A85375691T,11/1/2006,3790
Date.575,New Caledonia,Country,Australia and Oceania,A85375691T,12/1/2006,4280
Date.576,New Caledonia,Country,Australia and Oceania,A85375691T,1/1/2007,6560
Date.577,New Caledonia,Country,Australia and Oceania,A85375691T,2/1/2007,4320
Date.578,New Caledonia,Country,Australia and Oceania,A85375691T,3/1/2007,3150
Date.579,New Caledonia,Country,Australia and Oceania,A85375691T,4/1/2007,3010
