,countries,variable_type,Region,seried_id,date,records
Date.265,New Zealand,Country,Australia and Oceania,A85375607R,2/1/2013,73380
Date.266,New Zealand,Country,Australia and Oceania,A85375607R,3/1/2013,97850
Date.267,New Zealand,Country,Australia and Oceania,A85375607R,4/1/2013,99030
Date.268,New Zealand,Country,Australia and Oceania,A85375607R,5/1/2013,93780
Date.269,New Zealand,Country,Australia and Oceania,A85375607R,6/1/2013,90980
Date.270,New Zealand,Country,Australia and Oceania,A85375607R,7/1/2013,115260
Date.271,New Zealand,Country,Australia and Oceania,A85375607R,8/1/2013,106990
Date.272,New Zealand,Country,Australia and Oceania,A85375607R,9/1/2013,106510
Date.273,New Zealand,Country,Australia and Oceania,A85375607R,10/1/2013,120450
Date.274,New Zealand,Country,Australia and Oceania,A85375607R,11/1/2013,98680
Date.275,New Zealand,Country,Australia and Oceania,A85375607R,12/1/2013,118370
Date.276,New Zealand,Country,Australia and Oceania,A85375607R,1/1/2014,79730
Date.277,New Zealand,Country,Australia and Oceania,A85375607R,2/1/2014,78830
Date.278,New Zealand,Country,Australia and Oceania,A85375607R,3/1/2014,95620
Date.279,New Zealand,Country,Australia and Oceania,A85375607R,4/1/2014,110530
Date.280,New Zealand,Country,Australia and Oceania,A85375607R,5/1/2014,101820
Date.281,New Zealand,Country,Australia and Oceania,A85375607R,6/1/2014,93780
Date.282,New Zealand,Country,Australia and Oceania,A85375607R,7/1/2014,115320
Date.283,New Zealand,Country,Australia and Oceania,A85375607R,8/1/2014,107260
Date.284,New Zealand,Country,Australia and Oceania,A85375607R,9/1/2014,112850
Date.285,New Zealand,Country,Australia and Oceania,A85375607R,10/1/2014,128500
Date.286,New Zealand,Country,Australia and Oceania,A85375607R,11/1/2014,102720
Date.287,New Zealand,Country,Australia and Oceania,A85375607R,12/1/2014,117840
Date.288,New Zealand,Country,Australia and Oceania,A85375607R,1/1/2015,82040
Date.289,New Zealand,Country,Australia and Oceania,A85375607R,2/1/2015,79980
Date.290,New Zealand,Country,Australia and Oceania,A85375607R,3/1/2015,104060
Date.291,New Zealand,Country,Australia and Oceania,A85375607R,4/1/2015,113500
Date.292,New Zealand,Country,Australia and Oceania,A85375607R,5/1/2015,104690
Date.293,New Zealand,Country,Australia and Oceania,A85375607R,6/1/2015,102130
Date.294,New Zealand,Country,Australia and Oceania,A85375607R,7/1/2015,128100
Date.295,New Zealand,Country,Australia and Oceania,A85375607R,8/1/2015,113260
Date.296,New Zealand,Country,Australia and Oceania,A85375607R,9/1/2015,120750
Date.297,New Zealand,Country,Australia and Oceania,A85375607R,10/1/2015,131590
Date.298,New Zealand,Country,Australia and Oceania,A85375607R,11/1/2015,107260
Date.299,New Zealand,Country,Australia and Oceania,A85375607R,12/1/2015,124590
